station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
023 Les Arceaux,7,9,16,2022,01-15,21:35
024 Cité Mion,3,5,8,2022,01-15,21:35
025 Nouveau Saint-Roch,4,4,8,2022,01-15,21:35
026 Renouvier,3,5,8,2022,01-15,21:35
027 Odysseum,5,3,8,2022,01-15,21:35
028 Saint-Denis,4,4,8,2022,01-15,21:35
029 Richter,12,4,16,2022,01-15,21:35
030 Charles Flahault,3,5,8,2022,01-15,21:35
031 Voltaire,6,2,8,2022,01-15,21:35
032 Prés d'Arènes,8,0,8,2022,01-15,21:35
033 Garcia Lorca,7,1,8,2022,01-15,21:35
034 Vert Bois,0,16,16,2022,01-15,21:35
035 Malbosc,3,5,8,2022,01-15,21:35
036 Occitanie,1,31,32,2022,01-15,21:35
037 FacdesSciences,4,20,24,2022,01-15,21:35
038 Fac de Lettres,0,16,16,2022,01-15,21:35
039 Aiguelongue,8,0,8,2022,01-15,21:35
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,21:35
041 Euromédecine,3,5,8,2022,01-15,21:35
042 Marie Caizergues,0,8,8,2022,01-15,21:35
043 Sabines,6,2,8,2022,01-15,21:35
044 Celleneuve,6,2,8,2022,01-15,21:35
045 Jardin de la Lironde,4,4,8,2022,01-15,21:35
046 Père Soulas,1,7,8,2022,01-15,21:35
047 Place Viala,7,1,8,2022,01-15,21:35
048 Hôtel du Département,2,6,8,2022,01-15,21:35
049 Tonnelles,1,7,8,2022,01-15,21:35
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,21:35
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,21:35
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,21:35
054 Providence - Ovalie,0,8,8,2022,01-15,21:35
055 Pérols Etang de l'Or,23,45,68,2022,01-15,21:35
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,21:35
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,21:35
059 Sud De France,1,7,8,2022,01-15,21:35
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,4,8,12,2022,01-15,21:40
002 Comédie,9,15,24,2022,01-15,21:40
003 Esplanade,1,31,32,2022,01-15,21:40
004 Hôtel de Ville,6,10,16,2022,01-15,21:40
005 Corum,8,4,12,2022,01-15,21:40
006 Place Albert 1er - St Charles,11,20,31,2022,01-15,21:40
007 Foch,1,7,8,2022,01-15,21:40
008 Halles Castellane,7,5,12,2022,01-15,21:40
009 Observatoire,2,6,8,2022,01-15,21:40
010 Rondelet,4,12,16,2022,01-15,21:40
011 Plan Cabanes,6,6,12,2022,01-15,21:40
012 Boutonnet,4,8,12,2022,01-15,21:40
013 Emile Combes,6,2,8,2022,01-15,21:40
014 Beaux-Arts,6,2,8,2022,01-15,21:40
015 Les Aubes,7,1,8,2022,01-15,21:40
016 Antigone centre,8,8,16,2022,01-15,21:40
017 Médiathèque Emile Zola,7,9,16,2022,01-15,21:40
018 Nombre d'Or,8,8,16,2022,01-15,21:40
019 Louis Blanc,2,14,16,2022,01-15,21:40
020 Gambetta,3,5,8,2022,01-15,21:40
021 Port Marianne,13,3,16,2022,01-15,21:40
022 Clemenceau,0,12,12,2022,01-15,21:40
023 Les Arceaux,7,9,16,2022,01-15,21:40
024 Cité Mion,3,5,8,2022,01-15,21:40
025 Nouveau Saint-Roch,4,4,8,2022,01-15,21:40
026 Renouvier,3,5,8,2022,01-15,21:40
027 Odysseum,5,3,8,2022,01-15,21:40
028 Saint-Denis,4,4,8,2022,01-15,21:40
029 Richter,12,4,16,2022,01-15,21:40
030 Charles Flahault,3,5,8,2022,01-15,21:40
031 Voltaire,6,2,8,2022,01-15,21:40
032 Prés d'Arènes,8,0,8,2022,01-15,21:40
033 Garcia Lorca,7,1,8,2022,01-15,21:40
034 Vert Bois,0,16,16,2022,01-15,21:40
035 Malbosc,3,5,8,2022,01-15,21:40
036 Occitanie,1,31,32,2022,01-15,21:40
037 FacdesSciences,4,20,24,2022,01-15,21:40
038 Fac de Lettres,0,16,16,2022,01-15,21:40
039 Aiguelongue,8,0,8,2022,01-15,21:40
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,21:40
041 Euromédecine,3,5,8,2022,01-15,21:40
042 Marie Caizergues,0,8,8,2022,01-15,21:40
043 Sabines,6,2,8,2022,01-15,21:40
044 Celleneuve,6,2,8,2022,01-15,21:40
045 Jardin de la Lironde,4,4,8,2022,01-15,21:40
046 Père Soulas,2,6,8,2022,01-15,21:40
047 Place Viala,7,1,8,2022,01-15,21:40
048 Hôtel du Département,2,6,8,2022,01-15,21:40
049 Tonnelles,1,7,8,2022,01-15,21:40
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,21:40
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,21:40
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,21:40
054 Providence - Ovalie,0,8,8,2022,01-15,21:40
055 Pérols Etang de l'Or,23,45,68,2022,01-15,21:40
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,21:40
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,21:40
059 Sud De France,1,7,8,2022,01-15,21:40
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,4,8,12,2022,01-15,21:45
002 Comédie,9,15,24,2022,01-15,21:45
003 Esplanade,1,31,32,2022,01-15,21:45
004 Hôtel de Ville,6,10,16,2022,01-15,21:45
005 Corum,8,4,12,2022,01-15,21:45
006 Place Albert 1er - St Charles,11,20,31,2022,01-15,21:45
007 Foch,1,7,8,2022,01-15,21:45
008 Halles Castellane,7,5,12,2022,01-15,21:45
009 Observatoire,2,6,8,2022,01-15,21:45
010 Rondelet,4,12,16,2022,01-15,21:45
011 Plan Cabanes,6,6,12,2022,01-15,21:45
012 Boutonnet,4,8,12,2022,01-15,21:45
013 Emile Combes,6,2,8,2022,01-15,21:45
014 Beaux-Arts,6,2,8,2022,01-15,21:45
015 Les Aubes,7,1,8,2022,01-15,21:45
016 Antigone centre,8,8,16,2022,01-15,21:45
017 Médiathèque Emile Zola,7,9,16,2022,01-15,21:45
018 Nombre d'Or,8,8,16,2022,01-15,21:45
019 Louis Blanc,2,14,16,2022,01-15,21:45
020 Gambetta,3,5,8,2022,01-15,21:45
021 Port Marianne,13,3,16,2022,01-15,21:45
022 Clemenceau,0,12,12,2022,01-15,21:45
023 Les Arceaux,7,9,16,2022,01-15,21:45
024 Cité Mion,4,4,8,2022,01-15,21:45
025 Nouveau Saint-Roch,4,4,8,2022,01-15,21:45
026 Renouvier,3,5,8,2022,01-15,21:45
027 Odysseum,5,3,8,2022,01-15,21:45
028 Saint-Denis,4,4,8,2022,01-15,21:45
029 Richter,12,4,16,2022,01-15,21:45
030 Charles Flahault,3,5,8,2022,01-15,21:45
031 Voltaire,6,2,8,2022,01-15,21:45
032 Prés d'Arènes,8,0,8,2022,01-15,21:45
033 Garcia Lorca,7,1,8,2022,01-15,21:45
034 Vert Bois,0,16,16,2022,01-15,21:45
035 Malbosc,3,5,8,2022,01-15,21:45
036 Occitanie,1,31,32,2022,01-15,21:45
037 FacdesSciences,4,20,24,2022,01-15,21:45
038 Fac de Lettres,0,16,16,2022,01-15,21:45
039 Aiguelongue,8,0,8,2022,01-15,21:45
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,21:45
041 Euromédecine,3,5,8,2022,01-15,21:45
042 Marie Caizergues,0,8,8,2022,01-15,21:45
043 Sabines,6,2,8,2022,01-15,21:45
044 Celleneuve,6,2,8,2022,01-15,21:45
045 Jardin de la Lironde,4,4,8,2022,01-15,21:45
046 Père Soulas,2,6,8,2022,01-15,21:45
047 Place Viala,7,1,8,2022,01-15,21:45
048 Hôtel du Département,2,6,8,2022,01-15,21:45
049 Tonnelles,1,7,8,2022,01-15,21:45
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,21:45
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,21:45
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,21:45
054 Providence - Ovalie,0,8,8,2022,01-15,21:45
055 Pérols Etang de l'Or,23,45,68,2022,01-15,21:45
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,21:45
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,21:45
059 Sud De France,1,7,8,2022,01-15,21:45
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,4,8,12,2022,01-15,21:50
002 Comédie,9,15,24,2022,01-15,21:50
003 Esplanade,1,31,32,2022,01-15,21:50
004 Hôtel de Ville,6,10,16,2022,01-15,21:50
005 Corum,8,4,12,2022,01-15,21:50
006 Place Albert 1er - St Charles,10,21,31,2022,01-15,21:50
007 Foch,1,7,8,2022,01-15,21:50
008 Halles Castellane,7,5,12,2022,01-15,21:50
009 Observatoire,2,6,8,2022,01-15,21:50
010 Rondelet,4,12,16,2022,01-15,21:50
011 Plan Cabanes,6,6,12,2022,01-15,21:50
012 Boutonnet,4,8,12,2022,01-15,21:50
013 Emile Combes,6,2,8,2022,01-15,21:50
014 Beaux-Arts,6,2,8,2022,01-15,21:50
015 Les Aubes,7,1,8,2022,01-15,21:50
016 Antigone centre,8,8,16,2022,01-15,21:50
017 Médiathèque Emile Zola,7,9,16,2022,01-15,21:50
018 Nombre d'Or,8,8,16,2022,01-15,21:50
019 Louis Blanc,2,14,16,2022,01-15,21:50
020 Gambetta,3,5,8,2022,01-15,21:50
021 Port Marianne,13,3,16,2022,01-15,21:50
022 Clemenceau,0,12,12,2022,01-15,21:50
023 Les Arceaux,7,9,16,2022,01-15,21:50
024 Cité Mion,4,4,8,2022,01-15,21:50
025 Nouveau Saint-Roch,4,4,8,2022,01-15,21:50
026 Renouvier,3,5,8,2022,01-15,21:50
027 Odysseum,5,3,8,2022,01-15,21:50
028 Saint-Denis,4,4,8,2022,01-15,21:50
029 Richter,12,4,16,2022,01-15,21:50
030 Charles Flahault,3,5,8,2022,01-15,21:50
031 Voltaire,6,2,8,2022,01-15,21:50
032 Prés d'Arènes,8,0,8,2022,01-15,21:50
033 Garcia Lorca,7,1,8,2022,01-15,21:50
034 Vert Bois,0,16,16,2022,01-15,21:50
035 Malbosc,3,5,8,2022,01-15,21:50
036 Occitanie,1,31,32,2022,01-15,21:50
037 FacdesSciences,4,20,24,2022,01-15,21:50
038 Fac de Lettres,0,16,16,2022,01-15,21:50
039 Aiguelongue,8,0,8,2022,01-15,21:50
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,21:50
041 Euromédecine,3,5,8,2022,01-15,21:50
042 Marie Caizergues,0,8,8,2022,01-15,21:50
043 Sabines,6,2,8,2022,01-15,21:50
044 Celleneuve,6,2,8,2022,01-15,21:50
045 Jardin de la Lironde,4,4,8,2022,01-15,21:50
046 Père Soulas,2,6,8,2022,01-15,21:50
047 Place Viala,7,1,8,2022,01-15,21:50
048 Hôtel du Département,2,6,8,2022,01-15,21:50
049 Tonnelles,1,7,8,2022,01-15,21:50
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,21:50
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,21:50
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,21:50
054 Providence - Ovalie,0,8,8,2022,01-15,21:50
055 Pérols Etang de l'Or,23,45,68,2022,01-15,21:50
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,21:50
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,21:50
059 Sud De France,1,7,8,2022,01-15,21:50
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,4,8,12,2022,01-15,21:55
002 Comédie,12,12,24,2022,01-15,21:55
003 Esplanade,1,31,32,2022,01-15,21:55
004 Hôtel de Ville,6,10,16,2022,01-15,21:55
005 Corum,8,4,12,2022,01-15,21:55
006 Place Albert 1er - St Charles,10,21,31,2022,01-15,21:55
007 Foch,1,7,8,2022,01-15,21:55
008 Halles Castellane,7,5,12,2022,01-15,21:55
009 Observatoire,7,1,8,2022,01-15,21:55
010 Rondelet,4,12,16,2022,01-15,21:55
011 Plan Cabanes,6,6,12,2022,01-15,21:55
012 Boutonnet,4,8,12,2022,01-15,21:55
013 Emile Combes,6,2,8,2022,01-15,21:55
014 Beaux-Arts,6,2,8,2022,01-15,21:55
015 Les Aubes,7,1,8,2022,01-15,21:55
016 Antigone centre,7,9,16,2022,01-15,21:55
017 Médiathèque Emile Zola,7,9,16,2022,01-15,21:55
018 Nombre d'Or,8,8,16,2022,01-15,21:55
019 Louis Blanc,2,14,16,2022,01-15,21:55
020 Gambetta,3,5,8,2022,01-15,21:55
021 Port Marianne,13,3,16,2022,01-15,21:55
022 Clemenceau,0,12,12,2022,01-15,21:55
023 Les Arceaux,7,9,16,2022,01-15,21:55
024 Cité Mion,4,4,8,2022,01-15,21:55
025 Nouveau Saint-Roch,4,4,8,2022,01-15,21:55
026 Renouvier,3,5,8,2022,01-15,21:55
027 Odysseum,5,3,8,2022,01-15,21:55
028 Saint-Denis,4,4,8,2022,01-15,21:55
029 Richter,12,4,16,2022,01-15,21:55
030 Charles Flahault,3,5,8,2022,01-15,21:55
031 Voltaire,6,2,8,2022,01-15,21:55
032 Prés d'Arènes,8,0,8,2022,01-15,21:55
033 Garcia Lorca,7,1,8,2022,01-15,21:55
034 Vert Bois,0,16,16,2022,01-15,21:55
035 Malbosc,3,5,8,2022,01-15,21:55
036 Occitanie,2,30,32,2022,01-15,21:55
037 FacdesSciences,4,20,24,2022,01-15,21:55
038 Fac de Lettres,0,16,16,2022,01-15,21:55
039 Aiguelongue,8,0,8,2022,01-15,21:55
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,21:55
041 Euromédecine,3,5,8,2022,01-15,21:55
042 Marie Caizergues,0,8,8,2022,01-15,21:55
043 Sabines,6,2,8,2022,01-15,21:55
044 Celleneuve,6,2,8,2022,01-15,21:55
045 Jardin de la Lironde,4,4,8,2022,01-15,21:55
046 Père Soulas,2,6,8,2022,01-15,21:55
047 Place Viala,7,1,8,2022,01-15,21:55
048 Hôtel du Département,2,6,8,2022,01-15,21:55
049 Tonnelles,1,7,8,2022,01-15,21:55
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,21:55
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,21:55
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,21:55
054 Providence - Ovalie,0,8,8,2022,01-15,21:55
055 Pérols Etang de l'Or,23,45,68,2022,01-15,21:55
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,21:55
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,21:55
059 Sud De France,1,7,8,2022,01-15,21:55
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,4,8,12,2022,01-15,22:00
002 Comédie,13,11,24,2022,01-15,22:00
003 Esplanade,1,31,32,2022,01-15,22:00
004 Hôtel de Ville,6,10,16,2022,01-15,22:00
005 Corum,8,4,12,2022,01-15,22:00
006 Place Albert 1er - St Charles,10,21,31,2022,01-15,22:00
007 Foch,1,7,8,2022,01-15,22:00
008 Halles Castellane,7,5,12,2022,01-15,22:00
009 Observatoire,7,1,8,2022,01-15,22:00
010 Rondelet,4,12,16,2022,01-15,22:00
011 Plan Cabanes,6,6,12,2022,01-15,22:00
012 Boutonnet,4,8,12,2022,01-15,22:00
013 Emile Combes,6,2,8,2022,01-15,22:00
014 Beaux-Arts,6,2,8,2022,01-15,22:00
015 Les Aubes,7,1,8,2022,01-15,22:00
016 Antigone centre,7,9,16,2022,01-15,22:00
017 Médiathèque Emile Zola,7,9,16,2022,01-15,22:00
018 Nombre d'Or,8,8,16,2022,01-15,22:00
019 Louis Blanc,2,14,16,2022,01-15,22:00
020 Gambetta,3,5,8,2022,01-15,22:00
021 Port Marianne,13,3,16,2022,01-15,22:00
022 Clemenceau,0,12,12,2022,01-15,22:00
023 Les Arceaux,6,10,16,2022,01-15,22:00
024 Cité Mion,4,4,8,2022,01-15,22:00
025 Nouveau Saint-Roch,4,4,8,2022,01-15,22:00
026 Renouvier,3,5,8,2022,01-15,22:00
027 Odysseum,5,3,8,2022,01-15,22:00
028 Saint-Denis,4,4,8,2022,01-15,22:00
029 Richter,13,3,16,2022,01-15,22:00
030 Charles Flahault,3,5,8,2022,01-15,22:00
031 Voltaire,6,2,8,2022,01-15,22:00
032 Prés d'Arènes,8,0,8,2022,01-15,22:00
033 Garcia Lorca,7,1,8,2022,01-15,22:00
034 Vert Bois,0,16,16,2022,01-15,22:00
035 Malbosc,3,5,8,2022,01-15,22:00
036 Occitanie,2,30,32,2022,01-15,22:00
037 FacdesSciences,4,20,24,2022,01-15,22:00
038 Fac de Lettres,0,16,16,2022,01-15,22:00
039 Aiguelongue,8,0,8,2022,01-15,22:00
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,22:00
041 Euromédecine,3,5,8,2022,01-15,22:00
042 Marie Caizergues,0,8,8,2022,01-15,22:00
043 Sabines,6,2,8,2022,01-15,22:00
044 Celleneuve,6,2,8,2022,01-15,22:00
045 Jardin de la Lironde,4,4,8,2022,01-15,22:00
046 Père Soulas,2,6,8,2022,01-15,22:00
047 Place Viala,7,1,8,2022,01-15,22:00
048 Hôtel du Département,2,6,8,2022,01-15,22:00
049 Tonnelles,1,7,8,2022,01-15,22:00
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,22:00
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,22:00
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,22:00
054 Providence - Ovalie,0,8,8,2022,01-15,22:00
055 Pérols Etang de l'Or,23,45,68,2022,01-15,22:00
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,22:00
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,22:00
059 Sud De France,1,7,8,2022,01-15,22:00
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,4,8,12,2022,01-15,22:05
002 Comédie,13,11,24,2022,01-15,22:05
003 Esplanade,1,31,32,2022,01-15,22:05
004 Hôtel de Ville,6,10,16,2022,01-15,22:05
005 Corum,8,4,12,2022,01-15,22:05
006 Place Albert 1er - St Charles,10,21,31,2022,01-15,22:05
007 Foch,1,7,8,2022,01-15,22:05
008 Halles Castellane,7,5,12,2022,01-15,22:05
009 Observatoire,7,1,8,2022,01-15,22:05
010 Rondelet,4,12,16,2022,01-15,22:05
011 Plan Cabanes,6,6,12,2022,01-15,22:05
012 Boutonnet,4,8,12,2022,01-15,22:05
013 Emile Combes,6,2,8,2022,01-15,22:05
014 Beaux-Arts,6,2,8,2022,01-15,22:05
015 Les Aubes,7,1,8,2022,01-15,22:05
016 Antigone centre,7,9,16,2022,01-15,22:05
017 Médiathèque Emile Zola,7,9,16,2022,01-15,22:05
018 Nombre d'Or,8,8,16,2022,01-15,22:05
019 Louis Blanc,2,14,16,2022,01-15,22:05
020 Gambetta,3,5,8,2022,01-15,22:05
021 Port Marianne,13,3,16,2022,01-15,22:05
022 Clemenceau,0,12,12,2022,01-15,22:05
023 Les Arceaux,6,10,16,2022,01-15,22:05
024 Cité Mion,4,4,8,2022,01-15,22:05
025 Nouveau Saint-Roch,4,4,8,2022,01-15,22:05
026 Renouvier,3,5,8,2022,01-15,22:05
027 Odysseum,5,3,8,2022,01-15,22:05
028 Saint-Denis,4,4,8,2022,01-15,22:05
029 Richter,13,3,16,2022,01-15,22:05
030 Charles Flahault,3,5,8,2022,01-15,22:05
031 Voltaire,6,2,8,2022,01-15,22:05
032 Prés d'Arènes,8,0,8,2022,01-15,22:05
033 Garcia Lorca,7,1,8,2022,01-15,22:05
034 Vert Bois,0,16,16,2022,01-15,22:05
035 Malbosc,3,5,8,2022,01-15,22:05
036 Occitanie,3,29,32,2022,01-15,22:05
037 FacdesSciences,4,20,24,2022,01-15,22:05
038 Fac de Lettres,0,16,16,2022,01-15,22:05
039 Aiguelongue,8,0,8,2022,01-15,22:05
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,22:05
041 Euromédecine,3,5,8,2022,01-15,22:05
042 Marie Caizergues,0,8,8,2022,01-15,22:05
043 Sabines,6,2,8,2022,01-15,22:05
044 Celleneuve,6,2,8,2022,01-15,22:05
045 Jardin de la Lironde,4,4,8,2022,01-15,22:05
046 Père Soulas,2,6,8,2022,01-15,22:05
047 Place Viala,7,1,8,2022,01-15,22:05
048 Hôtel du Département,2,6,8,2022,01-15,22:05
049 Tonnelles,1,7,8,2022,01-15,22:05
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,22:05
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,22:05
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,22:05
054 Providence - Ovalie,0,8,8,2022,01-15,22:05
055 Pérols Etang de l'Or,23,45,68,2022,01-15,22:05
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,22:05
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,22:05
059 Sud De France,1,7,8,2022,01-15,22:05
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,3,9,12,2022,01-15,22:10
002 Comédie,13,11,24,2022,01-15,22:10
003 Esplanade,1,31,32,2022,01-15,22:10
004 Hôtel de Ville,6,10,16,2022,01-15,22:10
005 Corum,8,4,12,2022,01-15,22:10
006 Place Albert 1er - St Charles,10,21,31,2022,01-15,22:10
007 Foch,1,7,8,2022,01-15,22:10
008 Halles Castellane,7,5,12,2022,01-15,22:10
009 Observatoire,7,1,8,2022,01-15,22:10
010 Rondelet,4,12,16,2022,01-15,22:10
011 Plan Cabanes,6,6,12,2022,01-15,22:10
012 Boutonnet,4,8,12,2022,01-15,22:10
013 Emile Combes,6,2,8,2022,01-15,22:10
014 Beaux-Arts,6,2,8,2022,01-15,22:10
015 Les Aubes,7,1,8,2022,01-15,22:10
016 Antigone centre,7,9,16,2022,01-15,22:10
017 Médiathèque Emile Zola,7,9,16,2022,01-15,22:10
018 Nombre d'Or,8,8,16,2022,01-15,22:10
019 Louis Blanc,2,14,16,2022,01-15,22:10
020 Gambetta,3,5,8,2022,01-15,22:10
021 Port Marianne,14,2,16,2022,01-15,22:10
022 Clemenceau,0,12,12,2022,01-15,22:10
023 Les Arceaux,6,10,16,2022,01-15,22:10
024 Cité Mion,4,4,8,2022,01-15,22:10
025 Nouveau Saint-Roch,4,4,8,2022,01-15,22:10
026 Renouvier,3,5,8,2022,01-15,22:10
027 Odysseum,5,3,8,2022,01-15,22:10
028 Saint-Denis,4,4,8,2022,01-15,22:10
029 Richter,13,3,16,2022,01-15,22:10
030 Charles Flahault,3,5,8,2022,01-15,22:10
031 Voltaire,6,2,8,2022,01-15,22:10
032 Prés d'Arènes,8,0,8,2022,01-15,22:10
033 Garcia Lorca,7,1,8,2022,01-15,22:10
034 Vert Bois,0,16,16,2022,01-15,22:10
035 Malbosc,3,5,8,2022,01-15,22:10
036 Occitanie,3,29,32,2022,01-15,22:10
037 FacdesSciences,4,20,24,2022,01-15,22:10
038 Fac de Lettres,0,16,16,2022,01-15,22:10
039 Aiguelongue,8,0,8,2022,01-15,22:10
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,22:10
041 Euromédecine,3,5,8,2022,01-15,22:10
042 Marie Caizergues,0,8,8,2022,01-15,22:10
043 Sabines,6,2,8,2022,01-15,22:10
044 Celleneuve,6,2,8,2022,01-15,22:10
045 Jardin de la Lironde,4,4,8,2022,01-15,22:10
046 Père Soulas,2,6,8,2022,01-15,22:10
047 Place Viala,7,1,8,2022,01-15,22:10
048 Hôtel du Département,2,6,8,2022,01-15,22:10
049 Tonnelles,1,7,8,2022,01-15,22:10
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,22:10
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,22:10
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,22:10
054 Providence - Ovalie,0,8,8,2022,01-15,22:10
055 Pérols Etang de l'Or,23,45,68,2022,01-15,22:10
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,22:10
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,22:10
059 Sud De France,1,7,8,2022,01-15,22:10
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,2,10,12,2022,01-15,22:46
002 Comédie,13,11,24,2022,01-15,22:46
003 Esplanade,0,32,32,2022,01-15,22:46
004 Hôtel de Ville,7,9,16,2022,01-15,22:46
005 Corum,7,5,12,2022,01-15,22:46
006 Place Albert 1er - St Charles,8,23,31,2022,01-15,22:46
007 Foch,1,7,8,2022,01-15,22:46
008 Halles Castellane,2,10,12,2022,01-15,22:46
009 Observatoire,7,1,8,2022,01-15,22:46
010 Rondelet,4,12,16,2022,01-15,22:46
011 Plan Cabanes,5,7,12,2022,01-15,22:46
012 Boutonnet,4,8,12,2022,01-15,22:46
013 Emile Combes,6,2,8,2022,01-15,22:46
014 Beaux-Arts,6,2,8,2022,01-15,22:46
015 Les Aubes,7,1,8,2022,01-15,22:46
016 Antigone centre,6,10,16,2022,01-15,22:46
017 Médiathèque Emile Zola,7,9,16,2022,01-15,22:46
018 Nombre d'Or,8,8,16,2022,01-15,22:46
019 Louis Blanc,2,14,16,2022,01-15,22:46
020 Gambetta,3,5,8,2022,01-15,22:46
021 Port Marianne,14,2,16,2022,01-15,22:46
022 Clemenceau,0,12,12,2022,01-15,22:46
023 Les Arceaux,6,10,16,2022,01-15,22:46
024 Cité Mion,4,4,8,2022,01-15,22:46
025 Nouveau Saint-Roch,4,4,8,2022,01-15,22:46
026 Renouvier,3,5,8,2022,01-15,22:46
027 Odysseum,5,3,8,2022,01-15,22:46
028 Saint-Denis,3,5,8,2022,01-15,22:46
029 Richter,13,3,16,2022,01-15,22:46
030 Charles Flahault,3,5,8,2022,01-15,22:46
031 Voltaire,6,2,8,2022,01-15,22:46
032 Prés d'Arènes,8,0,8,2022,01-15,22:46
033 Garcia Lorca,7,1,8,2022,01-15,22:46
034 Vert Bois,0,16,16,2022,01-15,22:46
035 Malbosc,3,5,8,2022,01-15,22:46
036 Occitanie,2,30,32,2022,01-15,22:46
037 FacdesSciences,1,23,24,2022,01-15,22:46
038 Fac de Lettres,0,16,16,2022,01-15,22:46
039 Aiguelongue,8,0,8,2022,01-15,22:46
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,22:46
041 Euromédecine,3,5,8,2022,01-15,22:46
042 Marie Caizergues,0,8,8,2022,01-15,22:46
043 Sabines,6,2,8,2022,01-15,22:46
044 Celleneuve,6,2,8,2022,01-15,22:46
045 Jardin de la Lironde,4,4,8,2022,01-15,22:46
046 Père Soulas,2,6,8,2022,01-15,22:46
047 Place Viala,7,1,8,2022,01-15,22:46
048 Hôtel du Département,2,6,8,2022,01-15,22:46
049 Tonnelles,0,8,8,2022,01-15,22:46
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,22:46
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,22:46
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,22:46
054 Providence - Ovalie,0,8,8,2022,01-15,22:46
