station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,21:00
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,21:00
059 Sud De France,1,7,8,2022,01-15,21:00
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,5,7,12,2022,01-15,21:05
002 Comédie,11,13,24,2022,01-15,21:05
003 Esplanade,0,32,32,2022,01-15,21:05
004 Hôtel de Ville,6,10,16,2022,01-15,21:05
005 Corum,7,5,12,2022,01-15,21:05
006 Place Albert 1er - St Charles,11,20,31,2022,01-15,21:05
007 Foch,1,7,8,2022,01-15,21:05
008 Halles Castellane,3,9,12,2022,01-15,21:05
009 Observatoire,1,7,8,2022,01-15,21:05
010 Rondelet,4,12,16,2022,01-15,21:05
011 Plan Cabanes,7,5,12,2022,01-15,21:05
012 Boutonnet,5,7,12,2022,01-15,21:05
013 Emile Combes,6,2,8,2022,01-15,21:05
014 Beaux-Arts,6,2,8,2022,01-15,21:05
015 Les Aubes,7,1,8,2022,01-15,21:05
016 Antigone centre,7,9,16,2022,01-15,21:05
017 Médiathèque Emile Zola,7,9,16,2022,01-15,21:05
018 Nombre d'Or,8,8,16,2022,01-15,21:05
019 Louis Blanc,3,13,16,2022,01-15,21:05
020 Gambetta,2,6,8,2022,01-15,21:05
021 Port Marianne,13,3,16,2022,01-15,21:05
022 Clemenceau,0,12,12,2022,01-15,21:05
023 Les Arceaux,7,9,16,2022,01-15,21:05
024 Cité Mion,3,5,8,2022,01-15,21:05
025 Nouveau Saint-Roch,3,5,8,2022,01-15,21:05
026 Renouvier,3,5,8,2022,01-15,21:05
027 Odysseum,5,3,8,2022,01-15,21:05
028 Saint-Denis,4,4,8,2022,01-15,21:05
029 Richter,12,4,16,2022,01-15,21:05
030 Charles Flahault,3,5,8,2022,01-15,21:05
031 Voltaire,6,2,8,2022,01-15,21:05
032 Prés d'Arènes,8,0,8,2022,01-15,21:05
033 Garcia Lorca,7,1,8,2022,01-15,21:05
034 Vert Bois,0,16,16,2022,01-15,21:05
035 Malbosc,4,4,8,2022,01-15,21:05
036 Occitanie,1,31,32,2022,01-15,21:05
037 FacdesSciences,3,21,24,2022,01-15,21:05
038 Fac de Lettres,0,16,16,2022,01-15,21:05
039 Aiguelongue,8,0,8,2022,01-15,21:05
040 Jeu de Mail des Abbés,6,2,8,2022,01-15,21:05
041 Euromédecine,3,5,8,2022,01-15,21:05
042 Marie Caizergues,0,8,8,2022,01-15,21:05
043 Sabines,6,2,8,2022,01-15,21:05
044 Celleneuve,6,2,8,2022,01-15,21:05
045 Jardin de la Lironde,4,4,8,2022,01-15,21:05
046 Père Soulas,5,3,8,2022,01-15,21:05
047 Place Viala,4,4,8,2022,01-15,21:05
048 Hôtel du Département,2,6,8,2022,01-15,21:05
049 Tonnelles,1,7,8,2022,01-15,21:05
050 Parvis Jules Ferry - Gare Saint-Roch,3,5,8,2022,01-15,21:05
051 Pont de Lattes - Gare Saint-Roch,6,6,12,2022,01-15,21:05
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,21:05
054 Providence - Ovalie,0,8,8,2022,01-15,21:05
055 Pérols Etang de l'Or,22,46,68,2022,01-15,21:05
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,21:05
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,21:05
059 Sud De France,1,7,8,2022,01-15,21:05
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,5,7,12,2022,01-15,21:10
002 Comédie,11,13,24,2022,01-15,21:10
003 Esplanade,1,31,32,2022,01-15,21:10
004 Hôtel de Ville,6,10,16,2022,01-15,21:10
005 Corum,7,5,12,2022,01-15,21:10
006 Place Albert 1er - St Charles,11,20,31,2022,01-15,21:10
007 Foch,1,7,8,2022,01-15,21:10
008 Halles Castellane,4,8,12,2022,01-15,21:10
009 Observatoire,1,7,8,2022,01-15,21:10
010 Rondelet,4,12,16,2022,01-15,21:10
011 Plan Cabanes,7,5,12,2022,01-15,21:10
012 Boutonnet,5,7,12,2022,01-15,21:10
013 Emile Combes,6,2,8,2022,01-15,21:10
014 Beaux-Arts,6,2,8,2022,01-15,21:10
015 Les Aubes,7,1,8,2022,01-15,21:10
016 Antigone centre,7,9,16,2022,01-15,21:10
017 Médiathèque Emile Zola,7,9,16,2022,01-15,21:10
018 Nombre d'Or,8,8,16,2022,01-15,21:10
019 Louis Blanc,3,13,16,2022,01-15,21:10
